product_id,product_name,category,sub_category,unit_price,cost_price
3e146b8b-bd17-4cba-8ec6-623ae3263fc0,Synchronized mission-critical access,Books,Technical,732.13,295.91
bdeb7366-14bf-4268-848e-9017f3215bac,De-engineered empowering solution,Books,Non-Fiction,696.03,282.25
d8776d52-9a0c-4821-99a0-7029a6f29422,Programmable 6thgeneration open architecture,Books,Fiction,184.48,112.22
c7c5ada7-3577-468e-97c8-4346c99164c1,Enhanced encompassing array,Books,Non-Fiction,258.6,135.04
2b4bc1bd-1fe1-4d96-8d2c-fb0172bcc590,Customer-focused bandwidth-monitored strategy,Sports,Nutrition,244.15,115.24
e811ecde-079b-434f-bddc-c458ce3141c0,Seamless web-enabled firmware,Sports,Accessories,194.0,82.53
37d2b84d-6a45-4ba9-88eb-ac5b6f58a6f6,Assimilated context-sensitive capacity,Electronics,Laptops,356.39,223.61
a4032813-12dc-4d45-9456-21c657e35752,Cross-platform coherent secured line,Sports,Equipment,72.17,50.6
264e17de-b55d-4657-ad8b-6f0c19195166,Assimilated web-enabled collaboration,Books,Non-Fiction,402.6,173.19
fb642702-5bcb-41af-a606-ac837c0a8a6b,Face-to-face web-enabled project,Clothing,Jackets,552.83,262.88
ae60476d-ab41-48c0-80e0-851da94839f1,Cross-platform systemic customer loyalty,Home,Kitchenware,278.11,143.2
44edd58e-b08b-4e43-bf35-f3ec39950d5e,Reverse-engineered value-added concept,Books,Fiction,66.04,30.32
3f1e49d5-adc9-4d4f-9b37-14cc58f8b88a,Synchronized actuating utilization,Books,Children,108.17,63.84
0e7a0a42-eeec-474c-b5de-482b2f79d9be,User-friendly disintermediate process improvement,Home,Decor,563.09,298.95
840e7b3e-305f-4b01-8b3b-51ca9a73c622,Team-oriented bandwidth-monitored secured line,Books,Fiction,117.26,87.12
925fcec1-94f9-41ae-b324-226d71da4869,Right-sized homogeneous protocol,Clothing,Jackets,74.59,47.93
056791f4-abe7-44bc-a79d-a392fe3ffc4a,Mandatory leadingedge flexibility,Sports,Equipment,660.69,296.4
